name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genre,related_artists
Lonely Street,Night Life,Ray Price,1963,180680,13,0.843,0.47,0.199,4.59e-06,0.0657,-14.103,0.0314,92.109,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
The Wild Side of Life,Night Life,Ray Price,1963,177506,21,0.817,0.476,0.24,4.54e-05,0.269,-13.953,0.03,115.766,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
Sittin' and Thinkin',Night Life,Ray Price,1963,164293,23,0.759,0.603,0.218,0.00466,0.263,-13.725,0.0328,108.875,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
The Twenty-Fourth Hour,Night Life,Ray Price,1963,171080,12,0.894,0.491,0.328,6.13e-05,0.427,-14.176,0.037,104.534,3,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
A Girl in the Night,Night Life,Ray Price,1963,168266,11,0.742,0.482,0.272,0.0,0.0803,-13.752,0.0349,115.669,5,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
Pride,Night Life,Ray Price,1963,154960,19,0.915,0.501,0.342,0.0,0.129,-13.237,0.0314,130.411,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
There's No Fool Like a Young Fool,Night Life,Ray Price,1963,175613,10,0.876,0.552,0.193,0.00323,0.137,-14.913,0.0352,108.319,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
If She Could See Me Now,Night Life,Ray Price,1963,159280,10,0.466,0.507,0.295,2.48e-06,0.317,-13.644,0.035,122.081,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
Bright Lights and Blonde Haired Women,Night Life,Ray Price,1963,142800,14,0.848,0.639,0.28,0.0,0.472,-13.535,0.0325,117.071,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
Are You Sure,Night Life,Ray Price,1963,141093,11,0.919,0.454,0.201,2.55e-05,0.211,-13.473,0.0318,98.146,3,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
Let Me Talk to You,Night Life,Ray Price,1963,182560,9,0.928,0.371,0.203,0.000351,0.325,-14.63,0.0366,84.841,4,honky tonk,"['Faron Young', 'Webb Pierce', 'Eddy Arnold', 'Ferlin Husky', 'Hank Snow']"
It Won't Be Long - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,133386,51,0.284,0.472,0.673,0.0,0.206,-8.853,0.0318,133.117,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
All I've Got To Do - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,122573,50,0.217,0.49,0.579,0.0,0.0644,-10.301,0.0344,119.403,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
All My Loving - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,127853,70,0.207,0.416,0.563,0.0,0.343,-8.724,0.0298,77.56,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Don't Bother Me - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,148253,51,0.554,0.371,0.724,0.0,0.299,-9.792,0.0562,170.377,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Little Child - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,106400,42,0.292,0.526,0.858,0.001,0.353,-8.533,0.0476,75.596,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Till There Was You - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,133506,63,0.79,0.727,0.338,0.0,0.105,-13.887,0.0454,122.421,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Please Mister Postman - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,154160,54,0.675,0.552,0.644,0.0,0.36,-9.129,0.0372,122.546,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Roll Over Beethoven - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,165466,50,0.289,0.351,0.749,0.0,0.0952,-9.435,0.0628,160.673,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Hold Me Tight - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,151906,47,0.664,0.54,0.744,0.0,0.21,-9.637,0.0312,135.731,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
You Really Got A Hold On Me - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,181346,51,0.525,0.373,0.388,0.0,0.267,-9.31,0.0337,77.643,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I Wanna Be Your Man - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,119506,46,0.477,0.553,0.914,0.0,0.292,-8.232,0.0415,99.138,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Devil In Her Heart - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,146213,45,0.227,0.618,0.622,0.0,0.0438,-8.861,0.0296,121.072,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Not A Second Time - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,126826,44,0.213,0.471,0.817,0.0,0.498,-9.999,0.0372,124.848,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Money (That's What I Want) - Remastered 2009,With The Beatles (Remastered),The Beatles,1963-11-22,169506,46,0.425,0.545,0.853,0.0,0.266,-8.369,0.0394,128.816,1,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Blowin' in the Wind,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,165426,66,0.914,0.38,0.0993,2.32e-05,0.0605,-20.567,0.0509,174.874,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Girl from the North Country,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,199573,48,0.883,0.538,0.115,8.42e-05,0.113,-19.536,0.0335,102.296,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Masters of War,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,271360,49,0.613,0.556,0.273,3.27e-06,0.188,-15.973,0.0372,166.064,3,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Down the Highway,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,204506,39,0.66,0.473,0.138,6.4e-06,0.105,-21.116,0.0706,137.679,3,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Bob Dylan's Blues,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,140266,39,0.784,0.533,0.179,0.000195,0.133,-18.796,0.0958,124.594,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
A Hard Rain's A-Gonna Fall,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,412200,54,0.919,0.567,0.198,0.000871,0.135,-18.681,0.0327,92.467,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
"Don't Think Twice, It's All Right",The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,217400,66,0.89,0.6,0.243,0.0022,0.249,-17.085,0.0366,110.535,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Bob Dylan's Dream,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,300106,39,0.747,0.48,0.247,2.86e-06,0.0745,-15.929,0.0311,109.646,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Oxford Town,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,107226,43,0.876,0.658,0.218,0.00188,0.16,-17.302,0.0377,106.73,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
Talkin' World War III Blues,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,385266,37,0.781,0.566,0.219,0.000154,0.342,-16.813,0.0578,115.861,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
"Corrina, Corrina",The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,161466,42,0.847,0.667,0.209,0.00696,0.0773,-16.915,0.0358,95.311,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
"Honey, Just Allow Me One More Chance",The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,118160,36,0.839,0.545,0.525,5.26e-06,0.256,-12.606,0.0859,119.29,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
I Shall Be Free,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,288000,37,0.86,0.64,0.314,5.72e-06,0.0779,-12.88,0.038,100.552,4,classic rock,"['Neil Young', 'Lou Reed', 'Paul Simon', 'George Harrison', 'The Band']"
White Christmas,A Christmas Gift For You From Phil Spector,Various Artists,1963,172920,18,0.795,0.423,0.776,0.0,0.201,-7.08,0.0578,122.236,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Frosty the Snowman,A Christmas Gift For You From Phil Spector,Various Artists,1963,136306,40,0.228,0.382,0.879,0.0,0.408,-7.584,0.0642,143.741,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
The Bells of St. Mary,A Christmas Gift For You From Phil Spector,Various Artists,1963,175360,12,0.538,0.251,0.781,3.88e-06,0.454,-7.607,0.0453,146.437,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Santa Claus Is Coming to Town,A Christmas Gift For You From Phil Spector,Various Artists,1963,204000,23,0.885,0.416,0.831,0.00184,0.345,-7.462,0.0875,77.946,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Sleigh Ride,A Christmas Gift For You From Phil Spector,Various Artists,1963,181266,51,0.403,0.529,0.772,2.21e-06,0.316,-7.013,0.0287,91.751,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
A Marshmallow World,A Christmas Gift For You From Phil Spector,Various Artists,1963,143133,38,0.748,0.316,0.78,2.18e-05,0.317,-6.988,0.0517,154.636,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
I Saw Mommy Kissing Santa Claus,A Christmas Gift For You From Phil Spector,Various Artists,1963,157613,28,0.189,0.311,0.664,7.34e-06,0.129,-8.179,0.0377,146.292,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Rudolph the Red-Nosed Reindeer,A Christmas Gift For You From Phil Spector,Various Artists,1963,151133,20,0.614,0.366,0.788,3.61e-05,0.123,-7.001,0.0385,135.869,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Winter Wonderland,A Christmas Gift For You From Phil Spector,Various Artists,1963,146080,41,0.604,0.487,0.759,0.0,0.185,-8.093,0.0408,122.306,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Parade Of The Wooden Soldiers,A Christmas Gift For You From Phil Spector,Various Artists,1963,175013,18,0.79,0.579,0.786,0.000132,0.156,-5.919,0.0356,143.01,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Christmas (Baby Please Come Home),A Christmas Gift For You From Phil Spector,Various Artists,1963,166453,47,0.395,0.325,0.759,0.000362,0.0773,-7.146,0.053,126.627,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Here Comes Santa Claus,A Christmas Gift For You From Phil Spector,Various Artists,1963,123746,17,0.719,0.45,0.848,4.39e-06,0.461,-5.763,0.0418,162.972,4,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
Silent Night,A Christmas Gift For You From Phil Spector,Various Artists,1963,128053,13,0.863,0.181,0.325,0.0929,0.107,-12.931,0.0339,153.421,3,,"['Boney M.', 'Bee Gees', 'Bonnie Tyler', 'Olivia Newton-John', 'Cher']"
"Soul Twist / Introduction - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,83026,22,0.108,0.424,0.567,0.0,0.926,-10.019,0.407,131.538,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Feel It (Don't Fight It) - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,174733,26,0.53,0.419,0.8,0.0,0.826,-5.79,0.0496,105.407,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Chain Gang - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,191373,25,0.473,0.349,0.854,0.0,0.509,-4.176,0.0638,64.348,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Cupid - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,164960,24,0.621,0.44,0.637,0.0,0.724,-6.394,0.0393,66.241,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Medley: It's All Right / For Sentimental Reasons - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,311773,28,0.346,0.303,0.744,0.0,0.782,-5.813,0.0394,93.348,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Twistin' The Night Away - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,258959,24,0.273,0.277,0.959,0.0,0.862,-3.63,0.0581,169.016,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Somebody Have Mercy - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,219093,25,0.292,0.314,0.924,0.0,0.401,-4.397,0.0711,74.799,3,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Bring It on Home to Me - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,326266,32,0.365,0.357,0.804,0.0,0.869,-5.13,0.0433,123.044,3,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Nothing Can Change This Love - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,159973,26,0.299,0.314,0.848,0.0,0.894,-4.048,0.0369,133.192,3,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
"Having a Party - Live at the Harlem Square Club, Miami, FL - January 1963","One Night Stand - Sam Cooke Live At The Harlem Square Club, 1963",Sam Cooke,1963-08-16,303466,23,0.132,0.335,0.923,0.0,0.343,-4.049,0.0493,66.318,4,classic soul,"['Otis Redding', 'Jackie Wilson', 'Percy Sledge', 'Wilson Pickett', 'Sam & Dave']"
Track A- Solo Dancer,The Black Saint And The Sinner Lady,Charles Mingus,1963,398733,37,0.0253,0.177,0.622,3.55e-05,0.0419,-8.565,0.058,204.322,3,avant-garde jazz,"['Ornette Coleman', 'Thelonious Monk', 'Sonny Rollins', 'Eric Dolphy', 'Art Blakey & The Jazz Messengers']"
Track B- Duete Solo Dancers,The Black Saint And The Sinner Lady,Charles Mingus,1963,405266,35,0.258,0.23,0.572,3.81e-06,0.163,-8.746,0.0494,64.383,4,avant-garde jazz,"['Ornette Coleman', 'Thelonious Monk', 'Sonny Rollins', 'Eric Dolphy', 'Art Blakey & The Jazz Messengers']"
Track C-Group Dancers,The Black Saint And The Sinner Lady,Charles Mingus,1963,442226,33,0.249,0.336,0.466,0.16,0.0758,-8.979,0.0368,116.594,4,avant-garde jazz,"['Ornette Coleman', 'Thelonious Monk', 'Sonny Rollins', 'Eric Dolphy', 'Art Blakey & The Jazz Messengers']"
Medley: Mode D-Trio and Group Dancers/Mode E- Single solos and Group Dance/ModeF-Group and Solo Dance,The Black Saint And The Sinner Lady,Charles Mingus,1963,1119400,30,0.21,0.304,0.519,0.00187,0.221,-8.825,0.0359,101.289,4,avant-garde jazz,"['Ornette Coleman', 'Thelonious Monk', 'Sonny Rollins', 'Eric Dolphy', 'Art Blakey & The Jazz Messengers']"
"Introduction By Fats Gonder/ Opening Fanfare - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,108506,7,0.626,0.593,0.593,0.000112,0.181,-8.371,0.452,99.138,4,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"I'll Go Crazy - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,125426,11,0.69,0.487,0.72,0.0,0.594,-7.577,0.279,85.349,4,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"Try Me - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,146666,9,0.613,0.511,0.399,0.0,0.322,-9.742,0.0403,113.369,1,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"Think - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,117946,8,0.35,0.556,0.9,0.0149,0.0383,-7.675,0.0714,125.682,4,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"I Don't Mind - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,159026,8,0.533,0.52,0.371,0.00121,0.0277,-10.375,0.0404,108.267,3,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"Lost Someone - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,643786,7,0.758,0.488,0.324,1.13e-05,0.176,-10.373,0.0488,96.508,3,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"Medley: Please Please Please/You've Got The Power/I Found Someone - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,386106,6,0.736,0.436,0.498,7.02e-06,0.706,-8.779,0.0626,109.91,3,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
"Night Train - Live At The Apollo Theater, 1962",Live At The Apollo (Expanded Edition),James Brown,1963-05-01,204613,7,0.672,0.575,0.845,0.0013,0.275,-8.884,0.141,176.583,4,funk,"['James Brown & The Famous Flames', 'Curtis Mayfield', 'Sly & The Family Stone', 'Ray Charles', 'Al Green']"
The Girl From Ipanema,Getz / Gilberto,João Gilberto,1964-03-01,324600,0,0.893,0.661,0.123,0.000338,0.114,-19.353,0.0451,130.055,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
Doralice,Getz / Gilberto,João Gilberto,1964-03-01,166266,0,0.96,0.583,0.179,0.0691,0.11,-17.761,0.111,161.882,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
Para Machuchar Meu Coracao,Getz / Gilberto,João Gilberto,1964-03-01,305800,0,0.961,0.59,0.134,0.00885,0.0878,-17.891,0.0394,131.733,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
Desafinado,Getz / Gilberto,João Gilberto,1964-03-01,255760,0,0.931,0.491,0.171,0.00144,0.103,-17.259,0.0439,143.285,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
Corcovado (Quiet Nights Of Quiet Stars),Getz / Gilberto,João Gilberto,1964-03-01,256580,0,0.961,0.58,0.106,0.00116,0.146,-18.335,0.0458,128.376,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
Só Danço Samba,Getz / Gilberto,João Gilberto,1964-03-01,225733,0,0.875,0.607,0.22,0.172,0.112,-15.021,0.0504,82.585,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
O Grande Amor,Getz / Gilberto,João Gilberto,1964-03-01,327040,0,0.963,0.536,0.123,0.205,0.119,-18.359,0.0416,130.425,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
Vivo Sonhando,Getz / Gilberto,João Gilberto,1964-03-01,184400,0,0.93,0.464,0.184,7.7e-05,0.0911,-15.715,0.0412,145.652,4,unknown,"['Antônio Carlos Jobim', 'Vinícius de Moraes', 'Stan Getz', 'Nara Leão', 'Astrud Gilberto']"
A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,154200,66,0.137,0.59,0.805,0.0,0.0996,-6.481,0.0371,138.514,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I Should Have Known Better - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,163080,55,0.257,0.682,0.444,0.0,0.115,-7.689,0.0289,130.704,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
If I Fell - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,139466,63,0.68,0.665,0.31,0.0,0.0877,-8.928,0.0278,108.211,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I'm Happy Just To Dance With You - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,116373,53,0.138,0.658,0.537,0.0,0.0572,-7.535,0.0307,132.115,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
And I Love Her - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,149693,73,0.64,0.767,0.331,0.0,0.0681,-10.777,0.0337,113.312,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Tell Me Why - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,128693,47,0.586,0.267,0.688,0.0,0.307,-6.309,0.0388,150.942,3,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Can't Buy Me Love - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,131866,66,0.283,0.483,0.677,0.0,0.321,-5.91,0.0593,170.72,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Any Time At All - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,131280,47,0.366,0.612,0.719,3.88e-06,0.437,-7.026,0.0398,141.016,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I'll Cry Instead - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,105986,44,0.0917,0.643,0.73,0.0,0.253,-6.859,0.0347,96.711,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
Things We Said Today - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,155333,51,0.239,0.551,0.575,0.0,0.112,-8.208,0.0332,137.054,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
When I Get Home - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,136640,43,0.384,0.568,0.793,0.0,0.388,-6.201,0.0482,125.375,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
You Can't Do That - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,154893,47,0.367,0.612,0.788,0.0,0.382,-6.251,0.0335,129.161,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
I'll Be Back - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,144186,48,0.744,0.721,0.527,0.0,0.186,-7.224,0.0293,123.902,4,british invasion,"['The Yardbirds', 'The Zombies', 'Small Faces', 'The Byrds', 'T. Rex']"
"Amsterdam - Live, Olympia / 1964",Olympia 64,Jacques Brel,1964,202600,36,0.417,0.414,0.806,0.0,0.356,-5.445,0.257,129.841,4,belgian singer-songwriter,"['Georges Brassens', 'Léo Ferré', 'Barbara', 'Jean Ferrat', 'Claude Nougaro']"
Les vieux - Live Olympia 1964,Olympia 64,Jacques Brel,1964,283666,8,0.432,0.393,0.492,0.0,0.834,-8.045,0.0757,76.064,3,belgian singer-songwriter,"['Georges Brassens', 'Léo Ferré', 'Barbara', 'Jean Ferrat', 'Claude Nougaro']"
Tango funèbre - Live Olympia 1964,Olympia 64,Jacques Brel,1964,185666,10,0.251,0.555,0.75,0.0,0.95,-7.693,0.442,116.11,4,belgian singer-songwriter,"['Georges Brassens', 'Léo Ferré', 'Barbara', 'Jean Ferrat', 'Claude Nougaro']"
Le plat pays - Live Olympia 1964,Olympia 64,Jacques Brel,1964,187600,9,0.634,0.37,0.362,0.0,0.953,-12.438,0.152,94.854,3,belgian singer-songwriter,"['Georges Brassens', 'Léo Ferré', 'Barbara', 'Jean Ferrat', 'Claude Nougaro']"
